,black,white,start_time,fifthmove,rt,result,blackelo,whiteelo,num_black_games,num_white_games
132,xeaza,DeadlyGully06,1606839429.0,e4d5,2.0,0.0,1110,1069,1,0
133,Siari1221,KosovoJeSrbija69,1606839564.0,f2f3,2.0,0.0,1044,1124,0,0
134,xeaza,DavidEcheverria,1606839723.0,g1f3,1.0,1.0,1130,1158,2,0
135,Mlungisi_23,surregon1,1606839944.0,b1c3,2.0,1.0,932,994,0,0
136,HozenberGG,babasy,1606840323.0,e4e5,12.0,0.0,981,992,0,0
137,rustyspade,fatal_disease,1606840697.0,e4e5,1.0,0.0,1146,1046,0,0
138,Rootletorer,Z-EI,1606841176.0,e4e5,0.0,1.0,1073,1182,1,0
139,JerBear08,thewolf1994,1606841243.0,e4e5,-1.0,0.0,1109,1079,0,0
140,Dmitry_Solovyev,pav10,1606841453.0,e4e5,0.0,1.0,1193,1193,0,0
141,Scoe424,agokce,1606841496.0,b1c3,4.0,1.0,1106,984,0,0
142,Kaesebrot96,ajeetdubey44,1606842095.0,e4d5,2.0,0.0,1064,1174,0,0
143,itscrabs,mentoll,1606842472.0,b1c3,10.0,1.0,1027,1016,0,0
144,Hkhan968,ericbattlema,1606842770.0,b1c3,10.0,1.0,971,1035,0,0
145,unrulyzebra,aquatech80,1606843094.0,e4d5,1.0,0.0,1058,1007,0,0
146,Choche338,Cedietto,1606843228.0,e4e5,3.0,0.0,932,959,0,0
147,Artofmagic,bobi82,1606843472.0,b1c3,5.0,0.0,1021,1018,1,0
148,Ovetganna,AbdulazizJabri,1606843580.0,e4d5,2.0,0.0,1053,1044,1,0
149,erik9761,Fhisli,1606843591.0,e4e5,1.0,0.0,1109,1025,0,0
150,Vand_427,Awerel,1606843705.0,e4e5,4.0,1.0,1011,1003,0,0
151,DIEGO_galba13,MGV123,1606843718.0,b1c3,1.0,1.0,1120,1122,0,0
152,skillerxyz,Rohit3725,1606843744.0,e4d5,0.0,1.0,979,973,0,0
153,Artofmagic,prasadhare1,1606843876.0,e4d5,6.0,0.0,1027,1032,2,0
154,Choche338,Ender_Pug,1606844093.0,f1d3,2.0,0.0,940,864,1,0
155,Stiles_Stillinski24,spiritofthetuna,1606844141.0,e4d5,1.0,0.0,989,1060,0,0
156,Sudarshan777,EzekielVannoy,1606844382.0,e4e5,1.0,1.0,1147,1144,0,0
157,chosenPessimist,Giulio003,1606844410.0,b1c3,2.0,1.0,1069,994,0,0
158,Savdyn,Ithuriel1212,1606844631.0,b1c3,13.0,0.0,933,969,0,0
159,LuisDaniel12,blackdahlia,1606844755.0,g1f3,-2.0,0.0,1171,1171,0,0
160,Krpl,EyalKop,1606844852.0,e4e5,2.0,0.0,1042,913,0,0
161,Mlungisi_23,minaghanna,1606844954.0,f2f3,5.0,0.0,926,863,1,0
162,Alexxanderr,byfahrer,1606845216.0,b1c3,6.0,1.0,1137,1184,0,0
163,Antonnn777,Leviathankin,1606845242.0,b1c3,9.0,1.0,1110,1110,2,0
164,One_Legend,aleksandrekviciani,1606845413.0,e4e5,2.0,0.0,1019,973,1,0
165,IstvanLaszloRO,mahser-3,1606845488.0,b1c3,4.0,0.5,1044,1112,0,0
166,Hippie_Eyes,pidor-g,1606845512.0,b1c3,4.0,0.0,1190,1143,0,0
167,Alexxanderr,TheNameIsRobin,1606845769.0,e4e5,0.0,1.0,1127,1087,1,0
168,IstvanLaszloRO,mahser-3,1606845770.0,e4d5,1.0,1.0,1045,1111,1,0
169,aniruddhjuyal2649,behi2001,1606845845.0,e4e5,5.0,1.0,1063,1058,0,0
170,Dunerino,krmsobhy,1606846118.0,e4d5,2.0,1.0,1189,1137,0,0
171,Torben321,gilbertc168,1606846603.0,b1c3,4.0,1.0,966,1084,0,0
172,Ing_Mansky,Da7oomOp,1606846680.0,e4e5,1.0,0.0,1079,1001,0,0
173,Vlad_imirovich,Rampultinski,1606847393.0,e4e5,2.0,1.0,1017,1056,0,0
174,Artofmagic,db_david,1606847564.0,b1c3,1.0,1.0,1037,1079,3,0
175,KASGIR06,prof_perry,1606847697.0,e4e5,2.0,0.0,1151,1146,0,0
176,Waveform1,kuanish-2500,1606847835.0,e4e5,1.0,0.0,1093,1106,0,0
177,wwew18,za_russo,1606848315.0,e4e5,4.0,1.0,1045,1148,0,0
178,takuchess,Botona,1606848320.0,e4e5,0.0,0.0,1152,1163,0,0
179,wayup,Gerappa417,1606848452.0,b1c3,4.0,1.0,967,937,0,0
180,Ing_Mansky,alcotra,1606848473.0,e4e5,-1.0,0.0,1095,937,1,0
181,G10chess,mariuszwac,1606848822.0,b1c3,5.0,1.0,1173,1089,0,0
182,Baraka7,AnandKumarChandaluri,1606848870.0,e4e5,2.0,1.0,1155,1146,0,0
183,geeelie,elnicolasok,1606849090.0,e4d5,-1.0,0.0,998,933,0,0
184,kulplubardak,stipan101,1606849092.0,e4e5,1.0,1.0,1067,1030,0,0
185,erik9761,Chintuhg,1606849133.0,b1c3,2.0,0.0,1113,1134,1,0
186,takuchess,Botona,1606849138.0,e4e5,-1.0,1.0,1164,1152,1,0
187,JayGhadiyali,filicim,1606849155.0,e4d5,1.0,1.0,1057,927,0,0
188,taylormar,Elcornetto,1606849414.0,f1d3,3.0,1.0,1088,1165,0,0
189,VirenRohra,Thechessananda,1606849456.0,c2c4,2.0,0.0,885,929,0,0
190,Cvrk120,stev7rock,1606850451.0,e4e5,1.0,1.0,940,1046,0,0
191,AnthonyMark,pichihermes,1606850549.0,b1c3,3.0,0.0,1045,1073,0,0
192,TroutMan,DanielsSimsons,1606850552.0,b1c3,1.0,0.0,1108,1180,0,0
193,vettel05,lafinion,1606850654.0,e4d5,0.0,0.0,1168,1180,0,0
194,Gabrioski,Mr_Pawn_star,1606850778.0,e4d5,1.0,0.0,1121,1117,0,0
195,dmn28,ugur_gonenc,1606850807.0,e4e5,3.0,0.0,1158,1132,0,0
196,Tobias_Eitsch,usamimi,1606850865.0,e4e5,3.0,0.0,954,961,0,0
197,ajun1,Zaquille,1606850936.0,b1c3,3.0,0.0,1107,1136,0,0
198,vettel05,HeyitsHey,1606851127.0,b1c3,5.0,0.0,1170,1123,1,0
199,djain908,mdawg360,1606851445.0,e4d5,2.0,0.0,976,971,0,0
200,Vollmond,Di_ray,1606851572.0,e4d5,-1.0,1.0,981,989,0,0
201,Baraka7,manipura,1606851847.0,b1c3,27.0,0.0,1156,972,1,0
202,xrp,glauss,1606851929.0,e4e5,3.0,1.0,917,995,0,0
